display name,designator,Location X,Location Y,Length
NRST,H2,-120,60,6
OPAMP1_VINM,M3,-120,57,6
OPAMP2_VINM,M4,-120,54,6
PA0,L2,-120,51,6
PA1,M2,-120,48,6
PA10,C12,-120,45,6
PA11,B12,-120,42,6
PA12,A12,-120,39,6
PA13 (JTMS/SWDIO),A11,-120,36,6
PA14 (JTCK/SWCLK),A10,-120,33,6
PA15 (JTDI),A9,-120,30,6
PA2,K3,-120,27,6
PA3,L3,-120,24,6
PA4,J4,-120,21,6
PA5,K4,-120,18,6
PA6,L4,-120,15,6
PA7,J5,-120,12,6
PA8,D11,-120,9,6
PA9,D10,-120,6,6
PB0,M5,-120,3,6
PB1,M6,-120,0,6
PB10,L10,-120,-3,6
PB11,L11,-120,-6,6
PB12,L12,-120,-9,6
PB13,K12,-120,-12,6
PB14,K11,-120,-15,6
PB15,K10,-120,-18,6
PB2,L6,-120,-21,6
PB3 (JTDO/TRACESWO),A8,-120,-24,6
PB4 (NJTRST),A7,-120,-27,6
PB5,C5,-120,-30,6
PB6,B5,-120,-33,6
PB7,B4,-120,-36,6
PB8,A3,-120,-39,6
PB9,B3,-120,-42,6
PC0,H1,-120,-45,6
PC1,J2,-120,-48,6
PC10,B11,-120,-51,6
PC11,C10,-120,-54,6
PC12,B10,-120,-57,6
PC13,C1,-120,-60,6
PC14-OSC32_IN (PC14),D1,-90,60,6
PC15-OSC32_OUT (PC15),E1,-90,57,6
PC2,J3,-90,54,6
PC3,K2,-90,51,6
PC4,K5,-90,48,6
PC5,L5,-90,45,6
PC6,E12,-90,42,6
PC7,E11,-90,39,6
PC8,E10,-90,36,6
PC9,D12,-90,33,6
PD0,C9,-90,30,6
PD1,B9,-90,27,6
PD10,J12,-90,24,6
PD11,J11,-90,21,6
PD12,J10,-90,18,6
PD13,H12,-90,15,6
PD14,H11,-90,12,6
PD15,H10,-90,9,6
PD2,C8,-90,6,6
PD3,B8,-90,3,6
PD4,B7,-90,0,6
PD5,A6,-90,-3,6
PD6,B6,-90,-6,6
PD7,A5,-90,-9,6
PD8,K9,-90,-12,6
PD9,K8,-90,-15,6
PE0,C3,-90,-18,6
PE1,A2,-90,-21,6
PE10,L8,-90,-24,6
PE11,M9,-90,-27,6
PE12,L9,-90,-30,6
PE13,M10,-90,-33,6
PE14,M11,-90,-36,6
PE15,M12,-90,-39,6
PE2,B2,-90,-42,6
PE3,A1,-90,-45,6
PE4,B1,-90,-48,6
PE5,C2,-90,-51,6
PE6,D2,-90,-54,6
PE7,M7,-90,-57,6
PE8,L7,-60,60,6
PE9,M8,-60,57,6
PF0,D6,-60,54,6
PF1,D5,-60,51,6
PF11,K6,-60,48,6
PF12,J7,-60,45,6
PF13,K7,-60,42,6
PF14,J8,-60,39,6
PF15,J9,-60,36,6
PF2,D4,-60,33,6
PF3,E4,-60,30,6
PF4,F3,-60,27,6
PF5,F4,-60,24,6
PG0,H9,-60,21,6
PG1,G9,-60,18,6
PG10,D8,-60,15,6
PG11,G3,-60,12,6
PG12,D7,-60,9,6
PG13,C7,-60,6,6
PG14,C6,-60,3,6
PG15,K1,-60,0,6
PG2,G10,-60,-3,6
PG3,F9,-60,-6,6
PG4,F10,-60,-9,6
PG5,E9,-60,-12,6
PG6,G4,-60,-15,6
PG7,H4,-60,-18,6
PG8,J6,-60,-21,6
PG9,D9,-60,-24,6
PH0-OSC_IN (PH0),F1,-60,-27,6
PH1-OSC_OUT (PH1),G1,-60,-30,6
PH3-BOOT0,A4,-60,-33,6
VBAT,E2,-60,-36,6
VDD,C4,-60,-39,6
VDD,G2,-60,-42,6
VDD,G6,-60,-45,6
VDD,G11,-60,-48,6
VDD,G12,-60,-51,6
VDD,H3,-60,-54,6
VDDA,M1,-60,-57,6
VDDIO2,G7,-30,60,6
VDDUSB,C11,-30,57,6
VREF+,L1,-30,54,6
VSS,D3,-30,51,6
VSS,E3,-30,48,6
VSS,F2,-30,45,6
VSS,F6,-30,42,6
VSS,F7,-30,39,6
VSS,F11,-30,36,6
VSS,F12,-30,33,6
VSSA/VREF-,J1,-30,30,6
