
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
BLM18HE102SN1                    ZC201                            274   1   1   1   1 1      1 0 P.2                 6217729
BLM18HE102SN1                    ZC201                            274   1   2   2   1 2      2 0 XSIG011390          4091905
BLM18HE102SN1                    ZC301                            273   1   1   1   1 1      1 0 P.3                 5791745
BLM18HE102SN1                    ZC301                            273   1   2   2   1 2      2 0 XSIG011332          3907585
BLM18HE102SN1                    ZC401                            272   1   1   1   1 1      1 0 P.4                 5783553
BLM18HE102SN1                    ZC401                            272   1   2   2   1 2      2 0 XSIG011271          3723265
BLM18HE102SN1                    ZC501                            271   1   1   1   1 1      1 0 P.6                 5750785
BLM18HE102SN1                    ZC501                            271   1   2   2   1 2      2 0 XSIG011021          2932737
BLM18HE102SN1                    ZC601                            270   1   1   1   1 1      1 0 P.7                 5754881
BLM18HE102SN1                    ZC601                            270   1   2   2   1 2      2 0 XSIG011078          3117057
BLM18HE102SN1                    ZC701                            269   1   1   1   1 1      1 0 P.8                 5767169
BLM18HE102SN1                    ZC701                            269   1   2   2   1 2      2 0 XSIG011136          3301377
BM08B-SRSS-TB                    XP261                            140   1   1   1   1 1      1 0 PC.1                7659521
BM08B-SRSS-TB                    XP261                            140   1   2   2   1 2      2 0 PB.1                7655425
BM08B-SRSS-TB                    XP261                            140   1   3   3   1 3      3 0 PA.1                7651329
BM08B-SRSS-TB                    XP261                            140   1   4   4   1 4      4 0 GND                 8224769
BM08B-SRSS-TB                    XP261                            140   1   5   5   1 5      5 0 V_H.1               4014081
BM08B-SRSS-TB                    XP261                            140   1   6   6   1 6      6 0 H1.1                8130561
BM08B-SRSS-TB                    XP261                            140   1   7   7   1 7      7 0 H2.1                8134657
BM08B-SRSS-TB                    XP261                            140   1   8   8   1 8      8 0 H3.1                8138753
BM08B-SRSS-TB                    XP261                              0   2   1   1   2 9      9 1 GND                 8224769
BM08B-SRSS-TB                    XP261                              0   2   1   1   3 10    10 1 GND                 8224769
BM08B-SRSS-TB                    XP361                            142   1   1   1   1 1      1 0 PC.2                7692289
BM08B-SRSS-TB                    XP361                            142   1   2   2   1 2      2 0 PB.2                7262209
BM08B-SRSS-TB                    XP361                            142   1   3   3   1 3      3 0 PA.2                7696385
BM08B-SRSS-TB                    XP361                            142   1   4   4   1 4      4 0 GND                 8224769
BM08B-SRSS-TB                    XP361                            142   1   5   5   1 5      5 0 V_H.2               6041601
BM08B-SRSS-TB                    XP361                            142   1   6   6   1 6      6 0 H1.2                8101889
BM08B-SRSS-TB                    XP361                            142   1   7   7   1 7      7 0 H2.2                8105985
BM08B-SRSS-TB                    XP361                            142   1   8   8   1 8      8 0 H3.2                8110081
BM08B-SRSS-TB                    XP361                              0   2   1   1   2 9      9 1 GND                 8224769
BM08B-SRSS-TB                    XP361                              0   2   1   1   3 10    10 1 GND                 8224769
BM08B-SRSS-TB                    XP461                            141   1   1   1   1 1      1 0 PC.3                7708673
BM08B-SRSS-TB                    XP461                            141   1   2   2   1 2      2 0 PB.3                7720961
BM08B-SRSS-TB                    XP461                            141   1   3   3   1 3      3 0 PA.3                7716865
BM08B-SRSS-TB                    XP461                            141   1   4   4   1 4      4 0 GND                 8224769
BM08B-SRSS-TB                    XP461                            141   1   5   5   1 5      5 0 V_H.3               6066177
BM08B-SRSS-TB                    XP461                            141   1   6   6   1 6      6 0 H1.3                8056833
BM08B-SRSS-TB                    XP461                            141   1   7   7   1 7      7 0 H2.3                8060929
BM08B-SRSS-TB                    XP461                            141   1   8   8   1 8      8 0 H3.3                8065025
BM08B-SRSS-TB                    XP461                              0   2   1   1   2 9      9 1 GND                 8224769
BM08B-SRSS-TB                    XP461                              0   2   1   1   3 10    10 1 GND                 8224769
BM08B-SRSS-TB                    XP561                            143   1   1   1   1 1      1 0 PC.4                6991873
BM08B-SRSS-TB                    XP561                            143   1   2   2   1 2      2 0 PB.4                6561793
BM08B-SRSS-TB                    XP561                            143   1   3   3   1 3      3 0 PA.4                6995969
BM08B-SRSS-TB                    XP561                            143   1   4   4   1 4      4 0 GND                 8224769
BM08B-SRSS-TB                    XP561                            143   1   5   5   1 5      5 0 V_H.4               6078465
BM08B-SRSS-TB                    XP561                            143   1   6   6   1 6      6 0 H1.4                7933953
BM08B-SRSS-TB                    XP561                            143   1   7   7   1 7      7 0 H2.4                7921665
BM08B-SRSS-TB                    XP561                            143   1   8   8   1 8      8 0 H3.4                7925761
Schematic Net Listing
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
Part                             Reference                        Sym Sub Pin Eqv Sub Pin  Pin Phantom    Net         Net
Number                           Designator                       Num Typ Id  Cls Pak Text Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- --- --- --- ---- --- - -------------------- ---
BM08B-SRSS-TB                    XP561                              0   2   1   1   2 9      9 1 GND                 8224769
BM08B-SRSS-TB                    XP561                              0   2   1   1   3 10    10 1 GND                 8224769
BM08B-SRSS-TB                    XP661                            144   1   1   1   1 1      1 0 PC.5                6942721
BM08B-SRSS-TB                    XP661                            144   1   2   2   1 2      2 0 PB.5                6934529
BM08B-SRSS-TB                    XP661                            144   1   3   3   1 3      3 0 PA.5                6938625
BM08B-SRSS-TB                    XP661                            144   1   4   4   1 4      4 0 GND                 8224769
BM08B-SRSS-TB                    XP661                            144   1   5   5   1 5      5 0 V_H.5               6098945
BM08B-SRSS-TB                    XP661                            144   1   6   6   1 6      6 0 H1.5                7872513
BM08B-SRSS-TB                    XP661                            144   1   7   7   1 7      7 0 H2.5                7876609
BM08B-SRSS-TB                    XP661                            144   1   8   8   1 8      8 0 H3.5                7880705
BM08B-SRSS-TB                    XP661                              0   2   1   1   2 9      9 1 GND                 8224769
BM08B-SRSS-TB                    XP661                              0   2   1   1   3 10    10 1 GND                 8224769
BM08B-SRSS-TB                    XP761                            139   1   1   1   1 1      1 0 PC.6                6381569
BM08B-SRSS-TB                    XP761                            139   1   2   2   1 2      2 0 PB.6                6385665
BM08B-SRSS-TB                    XP761                            139   1   3   3   1 3      3 0 PA.6                6389761
