=======================================================================
Expedition PCB - Pinnacle - Version EXP2005.1_060615.00 2005.1
=======================================================================

RELOAD CELLS

Job Directory:  C:\Mentor_proj\408\PCB\


Design Units:(mm)

Replace Cell Log:   repCellLog33.txt

Tue Nov 30 18:17:43 2021

Reference Designator            Cell Name                         New Cell Name
===============================================================================


---------------  RELOAD CELLS  Tue Nov 30 18:17:43 2021  ---------------


C369                            CAPC1005X55N                      CAPC1005X55N                    
DA403                           SOT95P275X145-6N                  SOT95P275X145-6N                
DA702                           SOT95P280X145-5N                  SOT95P280X145-5N                
C469                            CAPC1005X55N                      CAPC1005X55N                    
C568                            CAPC2012X135N                     CAPC2012X135N                   
C603                            CAPC2012X135N                     CAPC2012X135N                   
DA301                           SIL0008E                          SIL0008E                        
C267                            CAPC1005X55N                      CAPC1005X55N                    
C671                            CAPC1608X90N                      CAPC1608X90N                    
C463                            CAPC1005X55N                      CAPC1005X55N                    
DA402                           SOT95P280X145-5N                  SOT95P280X145-5N                
C362                            CAPC1005X55N                      CAPC1005X55N                    
C408                            CAPC1005X55N                      CAPC1005X55N                    
C305                            CAPC1608X90N                      CAPC1608X90N                    
C666                            CAPC1608X90N                      CAPC1608X90N                    
C468                            CAPC2012X135N                     CAPC2012X135N                   
C409                            CAPC1005X55N                      CAPC1005X55N                    
C265                            CAPC1005X55N                      CAPC1005X55N                    
C410                            CAPC1005X55N                      CAPC1005X55N                    
DA405                           SOT95P280X145-5N                  SOT95P280X145-5N                
C761                            CAPC1608X90N                      CAPC1608X90N                    
C312                            CAPC1005X55N                      CAPC1005X55N                    
C563                            CAPC1005X55N                      CAPC1005X55N                    
DA404                           SOT95P280X145-5N                  SOT95P280X145-5N                
DA205                           SOT95P280X145-5N                  SOT95P280X145-5N                
C245                            CAPC1005X55N                      CAPC1005X55N                    
C402                            CAPC2012X135N                     CAPC2012X135N                   
C404                            CAPC1005X55N                      CAPC1005X55N                    
C701                            CAPC1005X55N                      CAPC1005X55N                    
C363                            CAPC1005X55N                      CAPC1005X55N                    
C210                            CAPC1005X55N                      CAPC1005X55N                    
C674                            CAPC2012X135N                     CAPC2012X135N                   
C768                            CAPC2012X135N                     CAPC2012X135N                   
C602                            CAPC2012X135N                     CAPC2012X135N                   
DA202                           SIL0008E                          SIL0008E                        
C407                            CAPC1005X55N                      CAPC1005X55N                    
DA306                           SOT95P280X145-5N                  SOT95P280X145-5N                
C405                            CAPC1608X90N                      CAPC1608X90N                    
C702                            CAPC2012X135N                     CAPC2012X135N                   
C466                            CAPC1608X90N                      CAPC1608X90N                    
C406                            CAPC1608X90N                      CAPC1608X90N                    
C601                            CAPC1005X55N                      CAPC1005X55N                    
C373                            CAPC1005X55N                      CAPC1005X55N                    
C572                            CAPC1005X55N                      CAPC1005X55N                    
C304                            CAPC1005X55N                      CAPC1005X55N                    
C401                            CAPC1005X55N                      CAPC1005X55N                    
C403                            CAPC2012X135N                     CAPC2012X135N                   
C570                            CAPC1005X55N                      CAPC1005X55N                    
C364                            CAPC1005X55N                      CAPC1005X55N                    
DA401                           SIL0008E                          SIL0008E                        
DA701                           SIL0008E                          SIL0008E                        
